Facility,Date,Description
Mehrabad Airport petrochemical facility,"Mon, 30 Mar 2026",US-Israeli strikes hit Tehran's Mehrabad Airport and a petrochemical facility in Tabriz. The extent of the damage is not known.
Kuwaiti Tanker,"Tue, 31 Mar 2026","A Kuwaiti tanker full of oil was struck off Dubai, a day after Trump's threats to Iran. The cause of the strike is not known."
Iran's oil and gas facilities,2026-03-31,"US-Israeli strikes on Iran's oil and gas facilities could have severe environmental and health consequences. The strikes are part of an escalating conflict between the US, Israel, and Iran."
Kuwaiti oil tanker,2026-03-30,"A Kuwaiti oil tanker was struck off the coast of Dubai, reportedly by an Iranian attack. The tanker was fully loaded with oil and caught fire, damaging its hull."
Israel oil refinery,2026-03-31,"Iranian missiles struck an oil refinery in Israel, causing significant damage and fires. The attack is part of an escalating conflict between Iran and Israel."
Gulf and Israeli infrastructure,2026-03-31,"Iran attacked Gulf and Israeli infrastructure, including oil refineries and other facilities. The attacks are part of a larger conflict between Iran, Israel, and the US."
Russian oil facilities,2026-03-31,"Ukraine strikes on Russian oil facilities caused huge fires, as seen in satellite images. The attacks are part of a larger conflict between Ukraine and Russia."
Iran's power plants,2026-03-31,"Trump renewed threats to Iran's power plants, which could have significant consequences for the country's energy infrastructure and civilian population."
Haifa oil refinery,2026-03-31,"Iranian missiles struck the Haifa oil refinery in Israel, causing explosions and fires. The attack is part of an escalating conflict between Iran and Israel."
Pharmaceutical facility,2026-04-01,"Iran reported that a strike on a pharmaceutical facility had hit the country's medical supply chain, potentially causing significant harm to civilians."
Aramco and Kuwait refinery,2026-03-31,"Iran struck Saudi's Aramco and a Kuwait refinery in retaliation for an Israeli attack on the South Pars gas field. The attacks are part of a larger conflict between Iran, Israel, and the US."
UAE's Ruwais refinery,2026-03-31,"The UAE's Ruwais refinery halted production after a drone attack, which could impact crude prices and the global energy market."
Kharg island,2026-03-31,"Trump threatened to strike Kharg island, which could have significant consequences for Iran's energy infrastructure and civilian population."
Haifa refinery,2026-04-01,"Israel's Haifa refinery was damaged in an Iran and Hezbollah missile attack, with reports of fire and smoke at the site."
South Pars Gas Field,2026-04-01,Iran threatened Gulf petrochemical sites after a strike on the South Pars Gas Field.
Saudi Arabia's Oil Refinery,2026-04-01,Saudi Arabia's oil refinery was under attack as Iran expanded its retaliation to Israel and a US base in the region.
Iraqi Kurdish Oil Refinery,2026-04-01,An Iraqi Kurdish oil refinery was hit by a drone strike after refusing to help Trump fight Iran.
QatarEnergy oil tanker,2026-04-01,"An oil tanker was hit by missiles in Gulf waters, according to QatarEnergy."
Iranian Energy Facilities,2026-04-02,"Trump warned that the US would strike Iranian energy facilities within weeks, threatening the global oil supply."
British motor oil company,2026-04-01,Drones struck a British motor oil company in Iraq after Iran warned that Tehran could strike UK bases.
Iran's Oil Export Hub,"Fri, 03 Apr 2026","The U.S. military attacked Iran's oil export hub, according to Trump. This attack is part of the ongoing conflict between the U.S. and Iran."
Kuwait's Oil Refinery Units,"Fri, 03 Apr 2026",Kuwait's oil refinery units were set on fire after an Iranian drone attack. The attack has caused significant damage to the refinery and has impacted the global oil market.
Russian oil fields,"Thu, 02 Apr 2026","Drone attacks have caused Russian oil output cuts, which are unavoidable according to sources. The attacks have shrunk exports and affected the oil market."
Kuwait's Mina Al-Ahmadi refinery,"Fri, 03 Apr 2026","A drone strike hit Kuwait's Mina Al-Ahmadi refinery, causing fires to break out. The attack has damaged the refinery and has raised concerns about the security of oil facilities in the region."
Ukrainian oil refinery,"Fri, 03 Apr 2026",A fire erupted at a Ukrainian oil refinery after it was attacked by Russian forces. The attack has caused significant damage to the refinery and has impacted the global oil market.
Iran's Qeshm port,"Fri, 03 Apr 2026",Satellite imagery shows damage at Iran's Qeshm port after US-Israel strikes. The attack has caused significant damage to the port and has impacted Iran's ability to export oil.
Kuwait's desalination plant,"Fri, 03 Apr 2026",Kuwait's desalination plant was damaged in an Iranian drone attack. The attack has caused significant damage to the plant and has raised concerns about the security of critical infrastructure in the region.
Kuwait oil refinery,2026-04-03,"Iran launched a drone strike on the Kuwait oil refinery, causing a fire and damage to the facility. The attack was part of a series of retaliatory strikes by Iran against Gulf energy infrastructure."
Kuwait desalination plant,2026-04-03,"The desalination plant in Kuwait was hit by missile and drone strikes, causing damage to the facility. The attack was part of a series of strikes by Iran against Gulf energy infrastructure."
UAE's Habshan gas facility,2026-04-03,At least one person was killed in an intercepted attack on the Habshan gas facility in the UAE. The attack was part of a series of strikes by Iran against Gulf energy infrastructure.
Abu Dhabi gas facility,2026-04-03,Operations were halted at the main gas facility in Abu Dhabi after an attack. The attack was part of a series of strikes by Iran against Gulf energy infrastructure.
Iranian gas field,2026-04-04,"Israel attacked an Iranian gas field, with Netanyahu stating that Israel 'acted alone' in the attack."
Leviathan gas field,2026-04-03,"Israel resumed operations at the Leviathan gas field after a 32-day halt due to the war. The field had been previously attacked, causing a disruption in operations."
Petrochemical plant in Iran,2026-04-04,Iran rejected a ceasefire proposal after Israel bombed a key petrochemical plant in Iran. The attack was part of a series of strikes by Israel against Iranian targets.
Emirates Global Aluminium,2026-04-03,"The Emirates Global Aluminium facility was damaged in an Iranian strike, with repairs expected to take up to a year to complete."
Iran's Largest Petrochemical Complex,2026-04-04,"Israel struck Iran's largest petrochemical complex, a key site for the regime's weapon manufacture. The strike was part of a series of attacks on Iranian petrochemical facilities."
Mahshahr Petrochemical Zone,2026-04-04,"US-Israeli strikes hit the Mahshahr petrochemical zone in southwest Iran, causing casualties and damage to the facility."
Bushehr Nuclear Plant,2026-04-04,"A projectile hit near Iran's Bushehr nuclear plant, killing one person. The incident occurred amid a series of strikes on Iranian energy infrastructure."
Petrochemical facilities in southwestern Iran,2026-04-04,"US-Israeli attacks on several petrochemical facilities in southwestern Iran resulted in 5 killed and 170 injured, according to reports."
Bapco facility in Bahrain,2026-04-05,"A fire broke out at the Bapco facility in Bahrain after an Iranian attack, but it was later extinguished."
Mahshahr Petrochemical Complex,2026-04-05,"Israel struck Iran's Mahshahr Petrochemical Complex, halting production."
Gulf Petrochemical Industries,2026-04-05,"A fire broke out at Bahrain's Gulf Petrochemical Industries after an Iranian drone attack, but was later brought under control."
Bahrain oil refinery,2026-04-05,An explosion occurred at Bahrain's key oil refinery site after an Iranian missile strike.
Kuwait Oil Facilities,2026-04-05,Kuwait's oil facilities and headquarters were damaged by Iranian drone strikes.
Israel's largest petrochemical plant,2026-04-06,Iran launched a massive strike on Israel's largest petrochemical plant after Trump's 'hell' threat.
Iranian petrochemical plant in a massive gas field,2026-04-06,Israel hit an Iranian petrochemical plant in a massive gas field as Trump's deadline approached.
Kuwait's oil infrastructure,2026-04-05,Iran struck Kuwait's oil infrastructure before Opec+ supply talks.
Petrochemical facilities in the Gulf,2026-04-05,Iran's Revolutionary Guards targeted petrochemical facilities in the Gulf.
UAE gas field,2026-04-06,Iran struck a major UAE gas field as Israel intensified attacks on Tehran.
Bushehr Nuclear Plant,2026-04-05,The US and Israel struck Iran's Bushehr Nuclear Plant again.
Kuwait Petroleum Corp,2026-04-05,Kuwait Petroleum Corp reported damage at units after Iranian drone attacks.
South Pars plant,2026-04-06,"Israel hit the South Pars plant and killed an IRGC commander, jolting ceasefire diplomacy."
UAE Petrochemical Hub,2026-04-05,"The UAE Petrochemical Hub was hit by falling debris, and emergency teams were on the scene."
Iran petrochemical plant,2026-04-05,Israeli defense minister defended a strike on an Iran petrochemical plant.
Abu Dhabi petrochemical plant,2026-04-05,A fire broke out at an Abu Dhabi petrochemical plant after an attack was intercepted.
Bapco Refinery,2026-04-05,"Bahrain's Bapco Refinery was under attack, and a video showed a storage tank exploding into flames."
Asaluyeh petrochemical complex,"Mon, 06 Apr 2026","Israel struck Iran's petrochemical complex at Asaluyeh, according to the defence minister. The strike is part of the ongoing conflict between Israel and Iran."
South Pars gas field,"Mon, 06 Apr 2026","Israel attacked Iran's South Pars gas field again, as reported by multiple news sources. The attack is seen as an escalation of the conflict between the two countries."
Iran's largest petrochemical plant,"Mon, 06 Apr 2026","The IDF struck Iran's largest petrochemical plant, as confirmed by Israel Katz. The strike is part of the ongoing conflict between Israel and Iran."
Petrochemical complex in southwestern Iran,"Mon, 06 Apr 2026","A US-Israeli strike hit a petrochemical complex in southwestern Iran, according to reports. The strike is part of the ongoing conflict between the US, Israel, and Iran."
Iran's largest petrochemical complex,"Mon, 06 Apr 2026","A US-Israeli strike hit Iran's largest petrochemical complex, as reported by TRT World. The strike is part of the ongoing conflict between the US, Israel, and Iran."
South Pars natural gas field,"Mon, 06 Apr 2026","Israel hit the South Pars natural gas field as the Trump deadline looms, according to the Washington Examiner. The attack is seen as an escalation of the conflict between Israel and Iran."
Largest petrochemical facility in Iran,"Mon, 06 Apr 2026","The IDF struck the largest petrochemical facility in Iran, as confirmed by Katz. The strike is part of the ongoing conflict between Israel and Iran."
Petrochemical plant in Iran,"Mon, 06 Apr 2026","Israel hit a petrochemical plant in Iran ahead of the Trump deadline, as reported by The Hill. The strike is part of the ongoing conflict between Israel and Iran."
Iran's largest petrochemical site,"Mon, 06 Apr 2026","Israel says it struck Iran's largest petrochemical site, according to The Times of Israel. The strike is part of the ongoing conflict between Israel and Iran."
Petrochemical complex in southern Iran,"Mon, 06 Apr 2026","US-Israeli forces attacked another petrochemical complex in southern Iran, as reported by the Fars news agency. The strike is part of the ongoing conflict between the US, Israel, and Iran."
Saudi Petrochemical Complex,"Tue, 07 Apr 2026","A Saudi Petrochemical Complex was hit hours after Iran facilities were struck, as reported by NDTV. The attack is seen as an escalation of the conflict in the region."
Jubail petrochemical complex,2026-04-07,"Iran has attacked Saudi Arabia's Jubail petrochemical complex, according to the IRGC. The attack adds to global supply risk."
Iran's largest aluminum producer and petrochemical facility,2026-04-07,The US and Israel have attacked Iran's largest aluminum producer and petrochemical facility.
Saudi petrochemical complex,2026-04-07,An overnight attack has hit a Saudi petrochemical complex after similar strikes in Iran.
Jubail petrochem complex,2026-04-07,Iran's attack on Saudi Arabia's giant Jubail petrochem complex has added to global supply risk.
Iran's largest petrochemical facility,2026-04-07,Israel's defense minister says they have struck Iran's largest petrochemical facility.
Saudi Petrochemical Site,2026-04-08,"A Saudi Petrochemical site has been hit, escalating regional tensions after strikes on Iran."
Iran's largest aluminum and petrochemical complex,2026-04-07,An attack has hit Iran's largest aluminum and petrochemical complex.
South Pars gas field,2026-04-07,There are reports that Trump knew about the South Pars gas field attack beforehand.
Major Iranian Petrochemical Facility at South Pars,2026-04-07,Israel says it struck a major Iranian petrochemical facility at South Pars.
Petrochemical complex in Iran's Shiraz city,2026-04-07,The Israeli army says it targeted another petrochemical complex in Iran's Shiraz city.
Iran's South Pars petrochemical plant,2026-04-07,Israel has attacked Iran's South Pars petrochemical plant again after Trump's warning.
Iran's petrochemical site in Shiraz,2026-04-07,Israel says it struck Iran's petrochemical site in Shiraz.
Iran's key gas field,2026-04-07,Israel has struck Iran's key gas field as Trump's Hormuz deadline looms.
Oil refinery,2026-04-08,Iranian state TV reports an attack on an oil refinery after a ceasefire is announced.
Iran's Oil Export Hubs,2026-04-07,The US and Israel have struck Iran's oil export hubs ahead of Trump's deadline.
Oil refinery in Kuwait,2026-04-07,An oil refinery in Kuwait is on fire after an Iranian drone attack.
Iran's largest aluminum plant and petrochemical complex,2026-04-07,US-Israeli strikes have hit Iran's largest aluminum plant and petrochemical complex.
Saudi petrochemical hub,2026-04-07,Iran has struck a Saudi petrochemical hub amid escalating Gulf tensions.
Haifa oil refinery,2026-04-07,Iran claims to have struck Israel's Haifa oil refinery.
Israeli petrochemical facility near Dimona,2026-04-07,Iran has struck an Israeli petrochemical facility near Dimona.
"SABIC Petrochemical Plants in Jubail, Saudi Arabia",2026-04-07,"Iranian missiles have struck SABIC Petrochemical Plants in Jubail, Saudi Arabia."
Lavan refinery,"Wed, 08 Apr 2026",Iranian Oil Refining Company confirms attack on Lavan refinery. The attack occurred hours after a US-Iran ceasefire agreement was announced.
Lavan Island Oil Refinery,"Wed, 08 Apr 2026","Footage from Iran's Lavan Oil Refinery shows damage after what Iran claims was an attack by the UAE. The facility processes 35,000 bpd of crude."
Iran's largest natural gas field,"Wed, 08 Apr 2026","Israel strikes Iran's largest natural gas field, which could have significant implications for the region."
Jubail petrochem complex,"Wed, 08 Apr 2026",Iran's attack on Saudi Arabia's giant Jubail petrochem complex adds to global supply risk.
South Pars petrochemical plant,"Wed, 08 Apr 2026",Israel hits Iran's South Pars petrochemical plant again after Trump's warning.
Haifa Oil Refinery,"Wed, 08 Apr 2026",Satellite images show a tank destroyed at Haifa Oil Refinery.
Iran's largest petrochemical facility,"Wed, 08 Apr 2026",Israel says it struck Iran's largest petrochemical facility.
Bahrain's oil firm,"Wed, 08 Apr 2026","Bahrain's oil firm declares force majeure after refinery attack, affecting energy flows."
Saudi oil pipeline,2026-04-09,Iran struck Saudi oil pipeline as attacks on Gulf countries continued.
Lavan Refinery,2026-04-09,Lavan refinery strike triggered Iranian retaliation despite ceasefire.
Iran's gas field,2026-04-09,"Israel struck at Iran's gas heart, escalating global energy crisis."
Petrochemical plants,2026-04-09,Damage to petrochemical plants complicates any plan for recovery.
Iran Lavan Refinery,2026-04-09,Iran Lavan Refinery strike rekindles oil risk.
Kuwait refinery,2026-04-09,"Kuwait refinery on fire after Iranian drone attack, operations under threat."
Abu Dhabi petrochemicals plant,2026-04-09,Gulf conflict: Abu Dhabi petrochemicals plant halts as attack sparks fires.
Saudi energy sites,2026-04-09,Saudi suspends operations at key energy sites after Iranian attacks.
Karish gas field,2026-04-09,Israel says production can restart at Energean's Karish gas field.
Qatar LNG,2026-04-09,Goldman Sachs warns Qatar LNG damage could push global gas prices up.
South Pars gasfield,2026-04-09,Explosions heard in South Pars gasfield as Israel attacks petrochemical facility.
Iran's largest petrochemical complex,2026-04-09,Israel carries out 'powerful strike' on Iran's largest petrochemical complex in South Pars.
